bill_id,primary sponsor,bill_title
HB 2094,"Chipman, Jason",Changes provisions relating to representation by public defenders
HB 2074,"Smith, Clem",Creates provisions providing for the automatic expungement of certain records of a person when the charge or charges against the person were dismissed because of identity theft or mistaken identity
HB 1460,"Butler, Michael",Establishes the Economic-Education Partnership Act that allows certain small businesses to retain withholding taxes
HB 2475,"Bahr, Kurt",Authorizes the General Assembly to remove any department director or deputy director if it determines that the removal is necessary for the betterment of public service
HB 2506,"Jones, Caleb",Establishes the Missouri Commercial Receivership Act
HB 2503,"Johnson, Delus",Allows concealed carry permits to be renewed in any county within the state of Missouri
HB 2519,"McNeil, Margo",Authorizes the Missouri Public Service Commission to adopt rules for the interconnection of combined heat and power systems
HB 2578,"Kirkton, Jeanne",Prohibits the sale of baby crib bumper pads
HB 2387,"Colona, Mike",Prohibits insurers from cancelling a policy or taking other actions with respect to a policy under certain circumstances
HB 2393,"McGee, DaRon","Prohibits statewide elected officials, members of the general assembly, and paid leadership staff of members from serving as paid political consultants"
HB 2401,"Justus, Jeffery",Creates and modifies laws relating to circuit courts
HB 2354,"Ellington, Brandon",Enacts various provisions relating to video cameras worn by peace officers
HB 2753,"Frederick, Keith",Requires health carriers to provide or offer to provide certain information to prospective purchasers of health benefit plans
HB 1834,"McGaugh, Joe Don",Establishes procedures concerning vexatious litigations
HB 2484,"Eggleston, J.",Provides that the tuition for resident students at the University of Missouri for academic year 2016-2017 shall not exceed the amount of tuition charged to resident students for the 2015-2016 academic year
HB 2266,"Ross, Robert",Changes the laws regarding workers' compensation insurance premiums of volunteer fire departments
HB 2415,"McCreery, Tracy",Requires committees to file amended statements of organization within twenty-four hours of certain events
HB 1857,"Mathews, Kirk","Repeals the earnings tax in the cities of Kansas City and St. Louis on December 31, 2017"
HB 2313,"McNeil, Margo",Authorizes a sales tax exemption for energy star certified new appliances
HB 2413,"Hill, Justin",Requires any physician who chooses to report a patient's unstable mental capacity to possess a firearm to the federal government to also notify the county sheriff
HB 2395,"Harris, Ben",Imposes campaign contribution limits
HB 2440,"Hubbard, Penny","Designates provisions requiring peace officers' employment records to be available to hiring law enforcement agencies as the ""Tyrone L. Thompson Law"""
HB 1859,"Cross, Gary L.",Authorizes a tax deduction for the full amount of federal taxes paid
HB 2589,"Sommer, Chrissy",Modifies public notice requirements for certain hearings conducted by legislative bodies of municipalities
HB 2588,"Kelley, Mike",Exempts from attachment and execution a person's right to receive a local public assistance benefit
SB 1115,Emery,Requires the court to enter written findings of fact and conclusions of law for matters pertaining to child support and child custody
HB 2724,"McCann Beatty, Gail",Changes the laws regarding a notary public
HB 2548,"Kolkmeyer, Glen",Modifies provisions of law relating to ethics
HB 2594,"Burlison, Eric","Establishes the ""Local Economic and Academic Partnership Act"""
HB 2638,"Wiemann, John",Authorizes the conveyances of certain state properties
HB 2263,"Korman, Bart",Requires the Department of Social Services to request a waiver to require certain MO HealthNet participants to be Missouri residents for 6 months before receiving benefits
HB 1383,"English, Keith",Expands the A+ Schools Program to graduates of any high school that meets the program requirements
HB 2711,"Brattin, Rick",Changes the laws regarding tort liability associated with the concealed carry of firearms
HB 2516,"Kelley, Mike",Modifies penalty provisions relating to the use of firearms
SJR 39,David Sater,Prohibits the state from imposing penalties on individuals and religious entities who refuse to participate in same sex marriage ceremonies due to sincerely held religious beliefs
HB 2099,"Chipman, Jason",Prohibits public institutions of higher education from requiring students to purchase a meal plan
SB 1110,Brown,Modifies the law relating to orders issued by juvenile courts
HB 2326,"Johnson, Delus",Reduces the corporate income tax rate for a company that creates a specified number of jobs
HB 2382,"Korman, Bart",Allows the department of transportation to sell naming rights for highways and bridges not already named
HB 1837,"Fitzwater, Paul",Prohibits two-way telecommunications devices and their component parts in correctional centers and jails
HB 2520,"Lichtenegger, Donna",Requires landlords with 20 or more rental units to place security deposits in escrow bank accounts
HB 2486,"Korman, Bart","Specifies that any motorist charged with a traffic violation shall receive notification, in person, within twenty-four hours of the violation, with exceptions for certain offenses"
HB 2758,"Kolkmeyer, Glen",Establishes record keeping requirements for salvage dealers and operators of salvage pool or salvage disposal sales
HCR 69,"Miller, Rocky",Encourages the attorney general to take all necessary legal actions regarding EPA's final Clean Power Plan to prevent unlawful obligations being imposed on states and others
SB 703,Munzlinger,"Modifies the definition of livestock by changing the word ""buffalo"" to ""bison"""
SB 665,Parson,Allows the AgriMissouri Advisory Commission to establish a fee for sellers electing to use the AgriMissouri trademark so long as the fees do not yield revenue greater than administering the objectives of the Commission and the trademark
HB 1563,"Haahr, Elijah",Changes the laws regarding transportation network company insurance
HB 1713,"Remole, Tim",Requires the Department of Natural Resources to provide information regarding advanced technologies to upgrade existing lagoon-based wastewater systems to meet any new or existing discharge requirements
HB 1584,"Hill, Justin",Modifies provisions relating to private probation services for misdemeanor offenders
HB 1670,"English, Keith",Allows a school district to authorize its schools to observe a moment of silence in individual classrooms
HB 2161,"Marshall, Nick","Specifies that any issue to increase any tax, license, fee, or levy requiring voter approval under Article X of the Missouri Constitution must be placed on the ballot only on the general election day"
HB 2162,"Marshall, Nick",Changes the laws regarding blighted areas and the use of eminent domain
HB 1429,"Sommer, Chrissy",Changes the laws regarding the school funding formula by adding an additional weight for each gifted student to the calculation of the school district's weighted average daily attendance
HB 1430,"Sommer, Chrissy","Specifies continuing education training for school board members, with additional training required for members serving districts with provisional accreditation"
HB 1849,"Pogue, Jeff",Prohibits school districts from collecting biometric information on students without the express written consent of parents or legal guardians
SB 656,Munzlinger,Specifies that no additional fee beyond $100 may be charged to process concealed carry permit applications and allows military members extra time to renew their permits
HB 2178,"Higdon, Galen",Requires high schools to offer driver's education courses
HB 2546,"Hubrecht, Tila",Requires the department of elementary and secondary education to offer training on dyslexia to all teachers on an annual basis
HB 1636,"Love, Warren",Prohibits public schools that hold classes during the Missouri State Fair from receiving any state funding
HB 2569,"Hummel, Jacob",Requires a student to receive instruction in Braille reading and writing if an assessment demonstrates the need for the instruction
SB 888,Walsh,Allows human trafficking victims to participate in the address confidentiality program administered by the Secretary of State
HB 2330,"Mathews, Kirk",Establishes a regulatory system for transportation network companies
HB 2047,"Houghton, Jay",Allows certain individuals to use all-terrain vehicles and golf carts on the Katy Trail on certain days
HB 2155,"Davis, Charlie",Allows individuals currently serving in the Missouri National Guard to have resident student status for admission and tuition purposes at public institutions of higher education
HB 1368,"Hubrecht, Tila",Establishes a committee to examine the schools for the severely disabled
HB 1612,"Swan, Kathryn",Requires the State Board of Education to establish minimum requirements for a career and technical education certificate
HB 1613,"Swan, Kathryn",Requires school districts to develop a system for identifying students who are at risk of not being ready for college-level work or entry-level career positions
HB 1721,"Dugger, Tony",Changes the laws regarding credit union supervision so that audits are consistent with federal standards
HB 1464,"Burlison, Eric",Exempts motorcyclists 21 years of age or older from wearing a helmet when operating a motorcycle or motortricycle if they have the appropriate health insurance coverage
HB 1479,"Entlicher, Sue",Modifies laws relating to filing deadlines when a candidate withdraws from a race within two working days prior to the deadline
HB 1478,"Entlicher, Sue",Modifies the bonding requirement for the treasurer of a seven-director school district
HB 1419,"Pfautsch, Donna",Changes the laws regarding gifted education
HB 2331,"Morris, Lynn",Establishes the Missouri Senior Farmers' Market Nutrition Program to provide low-income seniors with fresh Missouri-grown produce
HB 1631,"Alferman, Justin",Requires a person to submit a specified form of photo identification in order to vote in a public election with specified exemptions
HB 2376,"Hough, Lincoln",Modifies provisions of law relating to construction management
HB 2707,"Ross, Robert",Establishes the Safe Schools Act
SB 910,Sater,Requires health carriers or managed care plans to offer medication synchronization services
SB 940,Schmitt,Requires a student athlete who is suspected of sustaining a concussion or brain injury be removed from competition and administered a side line test designed with a concussion protocol
HB 1778,"Curtman, Paul",Modifies provisions relating to paper ballots
HB 2607,"Jones, Caleb","Establishes the Alexandra and Brayden Anderson Electric Shock Drowning Prevention Act, with requirements for boat docks and marinas equipped with electrical power and for water patrol vessels"
HB 2368,"McGaugh, Joe Don","Provides a person is not guilty of peace disturbance for creating a loud noise or a noxious or offensive odor if such noise or odor arises from the raising, caring, or maintaining of livestock, crops, o"
HB 1575,"Rowden, Caleb","Requires officials to timely disclose lodging and travel expenses incurred by the official, the official's spouse, the official's family that are paid by a third person for expenses"
HB 1629,"Cookson, Steve",Increases the penalty for knowingly allowing minors to drink or possess alcohol or failing to stop a minor from drinking or possessing alcohol and establishes provisions relating to powdered alcohol
HB 1741,"Brattin, Rick",Requires all employers and business entities to enroll and actively participate in a federal work authorization program and imposes stricter penalties for employing an unauthorized alien
HB 1818,"Fraker, Lyndall",Changes the laws regarding maintenance orders
SB 1076,Parson,Modifies certificate of need requirements for long-term care facilities
SB 1050,Schaaf,Modifies requirements relating to brain injuries sustained by student athletes
HB 1552,"Neely, Jim","Requires the Department of Insurance, Financial Institutions and Professional Registration to develop a standard prior authorization form, which all health carriers shall be required to use"
HB 1860,"Cross, Gary L.","Allows a tax preparer, enrolled agent, or certified public accountant to represent a client before the Administrative Hearing Commission in matters relating to an assessment or reassessment of tax"
HB 2270,"Moon, Mike","Establishes a tax credit for business that were assessed higher taxes without notice as a result of the Department of Revenue changing its interpretation of taxable items before August 28, 2015"
SB 1072,Hegeman,Provides for reimbursement for emergency medical transportation services under MO HealthNet
HB 2216,"Crawford, Sandy",Creates the Department of Revenue Technology Fund
HB 2130,"White, Bill",Changes the laws regarding the assessment of commercial real property destroyed by a natural disaster
HB 2405,"Ross, Robert",Changes the laws regarding water rights
HB 2269,"Frederick, Keith",Establishes the Health Care Cost Reduction and Transparency Act
HB 2463,"Rizzo, John",Allows for the appointment of a Lieutenant Colonel for Homeland Security within the Kansas City Police Department
HB 1435,"Koenig, Andrew",Modifies current provisions regarding sales tax refund claims
HB 2305,"Houghton, Jay",Changes the laws regarding liability for the use of incompatible motor fuel
HB 2566,"Pfautsch, Donna",Establishes the early learning quality assurance report pilot program
SB 919,Schmitt,Modifies provisions relating to intoxicating liquor
HB 2190,"Hoskins, Denny",Establishes procedures that allow certain businesses to remit one monthly payment to the Department of Revenue for taxes and fees owed to multiple local jurisdictions
HB 2383,"Hinson, Dave",Allows political subdivisions to elect to cover certain personnel as members of the Missouri Local Government Employees' Retirement System
HB 2488,"Hill, Justin",Modifies provisions relating to reserve peace officers and peace officer training requirements.
HJR 53,"Dugger, Tony",Proposes a constitutional amendment specifying that a person seeking to vote in a public election may be required by general law to provide a valid government-issued photo identification
HB 2001,"Flanigan, Tom",Appropriates money to the Board of Fund Commissioners
HB 1817,"Fraker, Lyndall",Extends the sunset on provisions related to amending county budgets
HB 2630,"Curtis, Courtney Allen",Establishes a job training program for persons of low and moderate income
HB 1786,"Pike, Patricia",Prohibits the use of powdered alcohol
HB 1759,"Miller, Rocky",Adds a circuit judge to the 26th judicial circuit
SB 678,Emery,"Allows a court to place a person on electronic monitoring with victim notification if a person has been charged with, or found guilty of, violating an order of protection"
HB 2090,"Chipman, Jason",Specifies that public administrators shall not be required to disclose their personal financial information in order to serve as guardian or conservator
HB 1586,"Hill, Justin","Specifies lawful owners of firearms may transport or store the firearms in locked, privately-owned motor vehicles"
HB 1940,"May, Karla",Establishes the Joint Committee on Missouri Division of Workers' Compensation
HB 1653,"McDaniel, Andrew",Creates the crime of tampering with farm equipment
HB 2637,"Wiemann, John",Exempts certain health benefit plans from requirements of any health insurance mandate
SB 878,Brown,"Changes the ""Farm-to-School Act"" and program to the ""Farm-to-Table Act"" and program"
HB 1588,"Franklin, Diane",Waives corporate registration report requirements for certain farming corporations
HB 2600,"Flanigan, Tom",Changes the laws regarding the surplus revenue fund
HB 1735,"Davis, Charlie",Establishes the Password Privacy Protection Act
SB 581,Schaaf,Prohibits enforcement of any contractual provision that prevents disclosure of the contractual payment amount for health care services
HB 2448,"Conway, Pat",Modifies provisions relating to the state's responsibility for election costs
HB 2104,"Alferman, Justin",Modifies provisions relating to controlled liquor self-dispensing systems
SB 958,Joseph Keaveny,"Changes the ""Farm-to-School Act"" and program to the ""Farm-to-Table Act"" and program"
HB 2121,"Hummel, Jacob",Changes the laws regarding the Farm-to-School Act
HB 1827,"McGaugh, Joe Don",Specifies that a livestock owner shall be liable for damages caused by trespassing livestock if the owner was found to be negligent
SB 937,Wallingford,"Extends the authority for regional jail districts to impose a sales tax until September 30, 2027"
SCR 46,Schmitt,Disapproves and suspends the final order of rulemaking for the proposed rule 19 CSR 15-8.410 Personal Care Attendant Wage Range
SB 573,Schmitt,Modifies the law relating to the investment policies of the state
HB 1999,"White, Bill",Requires the Commissioner of Administration to procure a blanket bond or crime insurance policy to protect the state against loss from the acts or omissions of any state-compensated person within the judiciary
SB 1040,Kraus,Restricts the storage and use as evidence of data collected through automated license plate reader systems by government entities
HB 1728,"Reiboldt, Bill",Establishes the Fertilizer Control Board to administer and enforce fertilizer sales regulations
HB 2133,"Franklin, Diane",Adds victims of domestic assault offenses to the list of persons who automatically receive notification of certain events pertaining to the defendant or a proceeding against the defendant
SB 1079,Riddle,Prohibits disclosure of certain crime scene photographs and video recordings except under certain circumstances
HB 2180,"Fitzpatrick, Scott",Allows for consolidation of road districts within a county
HB 2818,"Remole, Tim",Requires Chief Juvenile Officers to be elected by each judicial circuit
SB 791,Parson,Raises the fee the Department of Public Safety may charge for the issuance of corporate security advisor licenses
HB 2499,"Lauer, Jeanie",Changes the laws regarding the Missouri Works Training Program
HB 1449,"Redmon, Craig","Adds stationary vehicles owned by a public utility displaying lighted amber or amber and white lights to the ""move over law"" list"
HB 1413,"Houghton, Jay",Repeals the expiration date for provisions relating to the Missouri Qualified Fuel Ethanol Producer Incentive Fund
SB 1087,David Pearce,Creates the Office of Missing Persons Advocate
HB 2777,"Hinson, Dave",Modifies provisions of law regarding fire district taxation of property that cities have annexed.
HB 2294,"Parkinson, Mark",Establishes the Annual Sportsman Sales Tax Holiday Act which authorizes an annual state sales and use tax exemption on purchases of certain outdoor sportsman equipment for three days in October
SB 1098,Dixon,Increases the penalty when a county officer fails to return revised laws received by such officer to the clerk of the circuit court
SB 693,Holsman,Modifies provisions requiring LLC's owning rental or unoccupied property in Kansas City to list a property manager with the city clerk
HB 2658,"Hoskins, Denny",Modifies provisions relating to minimum standards for municipalities in St. Louis County.
SCR 48,Nasheed,Designates October as Domestic Violence Awareness Month
SCR 49,Nasheed,Designates May as Mental Health Awareness Month
HB 2462,"Reiboldt, Bill",Extends the expiration date for certain agricultural tax credits
HB 1913,"Hinson, Dave",Eliminates a provision allowing for property tax levy adjustments for inflation and modifies standing for Hancock Amendment challenges
HB 2124,"Butler, Michael","Modifies the Science, Technology, Engineering and Mathematics Fund"
SB 876,Schatz,Modifies the law relating to discharge of employees under workers' compensation statutes
SB 751,Sifton,Modifies provisions relating to event tickets
SB 1097,Dixon,Modifies provisions relating to the Uniform Commercial Code
HB 1594,"Crawford, Sandy",Modifies provisions to the physical taking or attempted physical taking of property owned or in custody of a financial institution
HB 2622,"Austin, Kevin",Grants certain state institutions of higher education the right to offer baccalaureate and graduate degree programs upon approval by the coordinating board for higher education.
SB 1090,Hegeman,Changes the employer contribution for the College and University Retirement Plan and requires employees to contribute to the plan
HB 2449,"Davis, Charlie",Allows an individual to deduct income earned through active military duty from their Missouri adjusted gross income
SB 946,Emery,Modifies the authority of municipalities to offer certain communications services
SB 1129,Riddle,Modifies provisions of law relating to custody of in vitro human embryos
HB 2400,"Miller, Rocky",Changes provisions of law related to net metering
HB 2497,"Rhoads, Shawn",Modifies provisions relating to the compensation of county officers
HB 2676,"Adams, Joe",Modifies the distribution of St. Louis County sales taxes and authorizes a retail sales tax to fund county law enforcement.
SB 1101,Silvey,Modifies provisions of law relating to abuse of children less than a year old and child abuse and neglect training
HB 1617,"McCaherty, John",Establishes the Bring Jobs Home Act that authorizes a tax deduction for out-of-state businesses that relocate to Missouri
HB 1862,"Cross, Gary L.",Modifies provisions relating to landlord-tenant law
SB 862,Wieland,Creates a regulatory system for self-service storage insurance and the selling of such insurance
HB 2310,"Green, Alan",Requires tax increment financing commissions to give priority to low-income areas
SB 677,Sater,Establishes requirements for authorized entities to stock epinephrine (EPI) auto-injectors for use in emergencies
HB 1927,"Redmon, Craig",Establishes the Show Me Rural Jobs Act
HB 1599,"Phillips, Don",Establishes procedures for an adopted person to obtain a copy of his or her original birth certificate
HB 1696,"Rowland, Lyle",Requires the Missouri Commission for the Deaf and Hard of Hearing to provide grants to organizations that provide services to deaf-blind persons
HB 2454,"Roeber, Rebecca",Prohibits a bail bond or surety recovery agent from entering certain health care facilities to apprehend a patient or resident
SB 1017,Wieland,Modifies provisions relating to athletic trainers
HB 1625,"Cookson, Steve",Increases funding under the school funding formula for school districts with an assessed valuation per student that fell within the lowest 10% of all school districts in the 2004-05 school year
HB 2185,"Cookson, Steve",Creates the Missouri State High School Activities Association Interim Committee
HB 1375,"Miller, Rocky",Specifies that the Department of Natural Resources shall conduct an evaluation as part of an implementation of any changes to the water quality standards
HB 1970,"Anderson, Sonya",Prohibits a municipality or utility company from holding an owner of a premises liable for the occupant's delinquent utility payments
HB 1888,"Dogan, Shamed",Establishes education savings accounts
HB 1703,"Lant, Bill",Establishes the Professional Employer Organization Act
HB 1626,"Cookson, Steve","Raises the minimum teacher salary for the 2017-18 school year, subject to appropriation"
HB 2611,"Shull, Noel J",Allows insurance companies to file one affidavit indicating acceptance of a certain report rather than affidavits from each director of the company
HB 2790,"Swan, Kathryn",Establishes a visiting scholars certificate of license to teach
HB 2392,"Curtis, Courtney Allen",Establishes the Labor Organization Minority Discrimination Interim Committee
HCR 83,"Curtis, Courtney Allen",Urges the department of elementary and secondary education to promote a culture in which educators feel free to discuss issues and work together to achieve a quality education for each student
HJR 101,"Ross, Robert",Proposes a constitutional amendment to remove the five-year limitation for the Department of Natural Resources to make payments to counties in lieu of real property taxes for land acquired by the department
HB 2167,"Alferman, Justin",Creates a regulatory system for self-service storage insurance and the selling of such insurance
SB 1114,Wallingford,Licenses persons performing radiologic imaging or administering radiation therapy and establishes the Missouri Radiologic Imaging and Radiation Therapy Board of Examiners
HB 1418,"Pfautsch, Donna",Changes the laws regarding audits of transportation development districts
HB 1676,"Corlew, Kevin",Modifies provisions relating to expert witnesses
SB 795,Wallingford,Implements the Streamlined Sales and Use Tax Agreement
HB 1984,"McDaniel, Andrew",Directs the coordinating board for higher education to develop policies for concurrent enrollment in public two-year and four-year institutions of higher education
HB 2682,"Shull, Noel J",Modifies provisions relating to the sale of intoxicating liquor at the St. Louis International Airport
HB 1769,"Shull, Noel J",Reauthorizes tax credits for a small business equal to the amount it pays as a guaranteed fee to specified federal entities and programs
HCR 62,"Peters, Joshua",Urges the UM board of curators to present the original LLoyd Gaines collection to the Smithsonian Institution for the purpose of national preservation
HB 2107,"McGaugh, Joe Don","Modifies provisions relating to the collateral source rule and provides that parties may introduce evidence of the cost, rather than the value, of the medical care or treatment rendered"
HR 1103,"Richardson, Todd",Commends the Boeing Company for its contributions to our state and the U.S. aerospace industry in honor of its 100th anniversary
HB 2186,"Ross, Robert",Allows school districts to develop policies on student recognition for participation in the Constitution Project of the Missouri Supreme Court
HB 1673,"Love, Warren",Repeals the sunset date for the Organ Donor Program Fund
HB 2258,"Jones, Caleb",Modifies provision of law relating to population determinations for political subdivisions
HB 2631,"Koenig, Andrew",Changes the law regarding bonds required for certain retail sales licensees
HB 2698,"Taylor, Jered",Removes the current ban on carrying concealed firearms in higher education institutions
HB 1668,"Shull, Noel J",Allows certain insurers to issue insurance policies outside of the United States under specified conditions
HB 1959,"Dugger, Tony",Adopts an agreement to elect the president by national popular vote
HB 2197,"Franklin, Diane",Establishes a penalty for failure to comply with US Coast Guard-Approved lifesaving device requirements
HB 2126,"Higdon, Galen",Establishes the Fair Fare Passenger Safety Act that prohibits any person operating a motor vehicle for compensation from using a hand-held wireless device
HB 1531,"Brown, Wanda",Specifies that cone beam computed tomography
HB 1610,"Swan, Kathryn",Changes the laws regarding postsecondary course options by broadening the definition of schools allowed to cooperate with public high schools to offer those options
HB 1556,"Love, Warren",Specifies that ambulance district public funds deposited in certain banking institutions are secured
HB 2337,"Parkinson, Mark",Specifies that public universities must not bind students to third-party contracts for health insurance without written approval
HB 2297,"Muntzel, Dave",Authorizes a tax credit for donations to a homeless shelter
HB 1602,"Ruth, Becky",Changes the laws regarding the appointment of school board members in the event of vacancies
HB 1622,"Kelley, Mike",Requires a convicted sex offender to be told of his or her obligation to register as a sex offender both prior to release or discharge and at the time of adjudication
HB 1710,"Lair, Mike",Modifies provisions relating to the teacher and school employee retirement systems
HB 2606,"Anderson, Sonya",Prohibits school bus stops from being placed within 500 feet of a registered sexual offender
HB 1618,"McCaherty, John",Modifies provisions relating to security freezes on credit reports and allows parents and guardians to place security freezes on their children's credit report
HB 1451,"Wood, David",Modifies provisions relating to charter schools
HB 2474,"Rowland, Lyle",Requires a motor vehicle operator or rider of any animal traveling on the highways of this state to stop or obey any signal or direction by a firefighter
HB 2282,"Rowden, Caleb",Allows alcoholic beverages to be sold and delivered at certain licensed venues through the use of mobile applications if all state laws and regulations regarding alcohol sales are followed
HB 2687,"Fitzwater, Paul","Extends the authority of regional jail districts to impose a sales tax until September 30, 2027"
HB 2664,"McGaugh, Joe Don",Modifies provisions relating to emergency rules
HB 2535,"Johnson, Delus",Establishes the Office of Business Advocate
HB 2533,"Phillips, Don",Adds provisions relating to the County Sheriff's Revolving Fund allowing excess moneys from concealed carry permits to be deposited into a discretionary fund
SB 1099,Dixon,Modifies the duties and functions of the Joint Committee on Legislative Research
SB 949,Wasson,"Provides that change in population shall not remove a city, county or political subdivision from operation of a law"
HB 2534,"Jones, Caleb",Adds valid and unexpired nondriver’s licenses issued under the laws of any state or territory of the United States to the list of documents that qualify to establish proof of age for alcohol purchase or consumption.
HB 2508,"Miller, Rocky",Modifies the civil penalty for violating federally mandated natural gas safety standards
HB 2209,"Barnes, Jay",Changes provisions of law related to the technical advisory staff of the public service commission
HB 1399,"Shumake, Lindell",Grants the President Pro Tem and the Speaker standing to intervene in cases challenging the constitutionality of state law and authorizes legislators to hire outside counsel when sued in their official capacity.
HB 1853,"Shumake, Lindell","Designates the ""Tom Boland Highway"" on a portion of U.S. 61 in Marion County"
SB 694,Holsman,Allows qualified motorcycle operators to operate motorcycles and motortricycles without protective headgear under certain conditions
HB 2583,"Haefner, Marsha",Changes the laws regarding children in foster care
SB 1119,Pearce,Requires the Department of Higher Education to create guidance regarding notice of public employee eligibility for public service loan forgiveness
HB 2692,"Neely, Jim",Modifies penalty provisions relating to the offense of criminal nonsupport
HB 1938,"Hicks, Ron",Allows concealed firearms to be carried on public transportation systems
HB 2437,"Corlew, Kevin","Authorizes the Missouri Highways and Transportation Commission to set up a public private partnership to finance, develop, and operate a new reconstruction 1-70, funded by user fees"
HB 1872,"Cookson, Steve","Designates a portion of U.S. Highway 50 in Pettis County as the ""LeRoy Van Dyke Highway."""
HB 2526,"Fitzwater, Paul",Changes the law regarding taxes paid under protest
HB 1738,"Brattin, Rick",Changes the laws regarding water resources
SB 1041,Jason Holsman,Creates the National Popular Vote Act
HB 2743,"Fitzwater, Travis",Creates the 47th Judicial Circuit consisting of Callaway and Audrain counties
HB 2509,"Miller, Rocky",Modifies the civil penalty for violating certain underground facility safety standards
HB 2537,"Messenger, Jeffrey",Establishes the Missouri Freedom to Choose Health Care Act
HB 2573,"Hubrecht, Tila",Requires the department of elementary and secondary education to ensure that any new or renewed contracts for services to develop or administer assessment instruments allow it to conduct compliance reviews
HB 2444,"Rowden, Caleb",Requires a military member to be treated as a nonresident for income tax purposes for each day that member is stationed outside Missouri
HB 2644,"English, Keith",Allows current members of the National Guard who are in good standing to carry concealed weapons at any time
HB 2388,"Fitzwater, Paul",Changes provisions of law related to youth sports brain injury prevention
HJR 89,"Corlew, Kevin",Proposes a constitutional amendment to authorize the highways and transportation commission to construct a toll road or bridge and to impose and collect tolls for certain projects
HB 2136,"Cookson, Steve","Designates a portion of U.S. Highway 50 in Pettis County as the ""Scott Joplin Memorial Highway"""
HB 2505,"Vescovo, Rob",Prohibits public school employees from asking students or parents about firearm ownership
HB 2747,"Kirkton, Jeanne","Prohibits the sale, purchase, trade, barter, and distribution of ivory, ivory products, rhinoceros horns, or rhinoceros horn products"
HB 2436,"Zerr, Anne",Changes the laws regarding the energy efficiency investment act by removing certain restrictions on participants' eligibility
HB 2609,"Haahr, Elijah","Prohibits health information blocking, which includes conduct likely to interfere with the ability of patients or health care providers to access or exchange electronic health records"
HB 2346,"Fitzpatrick, Scott","Designates the ""Senator Emory Melton Memorial Highway"""
SB 1071,Hegeman,Adds stationary utility vehicles to list of vehicles requiring drivers of motor vehicles to proceed with caution upon approach
SB 1082,Cunningham,Removes criminal penalties for certain acts of staff members in the Oversight Division of the Joint Committee on Legislative Research
HB 2697,"Morris, Lynn","Establishes the Tricia Leann Tharp Act, which requires certain pharmacists to receive two hours of continuing education on suicide prevention"
HB 2636,"Haefner, Marsha",Establishes the Missouri Child Protection Registry
SB 797,Pearce,Prohibits the sale or offering of powdered alcohol and creates a crime of illegal possession of powdered alcohol
HB 2465,"Jones, Caleb",Repeals certain sections regarding the Uniform Interstate Family Support Act
SB 1034,Romine,Modifies the disbursement of taxes paid under protest
HB 2574,"Hubrecht, Tila",Requires the joint committee on education to undertake additional duties related to oversight of the state education system
HB 2577,"Dogan, Shamed",Requires the Department of Higher Education to create guidance regarding notice of public employee eligibility for public service loan forgiveness and requires school districts to inform employees of such eligibility.
HB 2708,"Neely, Jim",Requires courts in this state to phase in equipment that allows audio from trials or other court proceedings to be retained for a minimum of one year
HB 2700,"Jones, Caleb",Creates the crime of revenge pornography
HB 2585,"Barnes, Jay",Adds provisions relating to the revocation of probation or parole for a crime for which a person is later determined to be actually innocent
SB 1069,Holsman,Adds an optional motorcycle registration surcharge of five dollars to be deposited in the motorcycle safety trust fund
HB 2778,"Neely, Jim",Modifies provisions relating to guardianships within the Probate Code
HB 2570,"Hill, Justin",Changes the training requirements for child care providers and school teachers and staff regarding identifying signs of possible child abuse
SCR 62,Emery,Urges the federal government to return certain lands to western states where such lands are located
SCR 44,David Sater,Applies to Congress for the calling of an Article V convention of states to propose certain amendments to the United States Constitution which place limits on the federal government
HB 2251,"Curtman, Paul",Changes the laws regarding the sale of general obligation bonds
HB 2304,"Frederick, Keith",Provides that the state shall not require maintenance of licensure or any form of specialty medical board certification to practice medicine and modifies examination requirements for physicians
HB 1390,"King, Nick",Changes the laws regarding hemp extract
SB 587,Wasson,Adopts the Compact for a Balanced Budget
HB 1861,"Cross, Gary L.",Specifies that an individual who has been evicted from a rental property must have written permission from the owner of the property to be on the premises in the future
HB 1697,"Rowland, Lyle",Modifies laws relating to advanced practice registered nurses in collaborative practice agreements
HB 1671,"Kratky, Michele",Prohibits drivers of non-commercial vehicles from text messaging while operating a motor vehicle unless the device being used is equipped with technology allowing for voice-recognition hands-free text
HB 2328,"Davis, Charlie",Adopts the Physical Therapy Licensure Compact
SB 1073,Brown,Modifies several provisions relating to foster care
SB 1048,Riddle,"Subject to appropriation, requires the Commission for the Deaf and Hard of Hearing to provide grants to certain organizations that provide services to deaf-blind children, adults, and service providers"
HCR 73,"Rhoads, Shawn",Designates the month of May as Cystic Fibrosis Awareness Month
SB 1051,Sater,Creates the Foster Care Bill of Rights
HB 2816,"Miller, Rocky",Establishes the 21st Century Grid Modernization and Security Act
HJR 60,"Kelley, Mike",Proposes a constitutional amendment that establishes daylight saving time as new standard time
HB 1601,"Ruth, Becky",Specifies that a teacher representative shall be appointed to the state board of education
HB 1614,"Swan, Kathryn",Authorizes a tax credit for contributions to school foundations
HB 1664,"Spencer, Bryan",Changes the law regarding the sale of intoxicating liquor
HB 1866,"Hubrecht, Tila",Changes provisions relating to advanced practice registered nurses
HB 2229,"Ross, Robert",Prohibits the use of public funds for lobbying purposes
HB 2515,"Engler, Kevin",Modifies provisions relating to gaming
